설비ID,설비명,라인,알람코드,알람명,발생일시,해제일시,심각도
EQ-006,CMP-06,LINE_I2,C217,Gas Flow Deviation,2026-06-16 23:10,2026-06-17 00:39,Major
EQ-001,Diffusion-01,LINE_I2,C217,Temperature Overshoot,2026-06-22 20:39,2026-06-22 21:26,Critical
EQ-001,Diffusion-01,LINE_I2,C210,Gas Flow Deviation,2026-06-08 06:09,2026-06-08 06:17,Major
EQ-001,Diffusion-01,LINE_I2,C216,Gas Flow Deviation,2026-06-20 02:29,2026-06-20 03:27,Major
EQ-006,CMP-06,LINE_I2,R407,RF Match Fail,2026-06-23 22:24,2026-06-23 23:32,Critical
EQ-004,CVD-04,LINE_I2,C205,Gas Flow Deviation,2026-06-21 22:00,2026-06-21 22:18,Major
EQ-004,CVD-04,LINE_I2,C206,Gas Flow Deviation,2026-06-26 22:33,2026-06-26 23:37,Major
EQ-001,Diffusion-01,LINE_I2,M108,Pad Conditioner Alarm,2026-06-30 03:29,2026-06-30 03:51,Major
EQ-004,CVD-04,LINE_I2,M118,Pad Conditioner Alarm,2026-06-20 10:48,2026-06-20 11:49,Major
EQ-005,Diffusion-05,LINE_I2,M114,Pad Conditioner Alarm,2026-06-27 17:28,2026-06-27 17:53,Major
EQ-006,CMP-06,LINE_I2,M115,Slurry Level Low,2026-06-09 07:53,2026-06-09 09:19,Minor
EQ-003,Photo-03,LINE_I2,M116,Pad Conditioner Alarm,2026-06-21 07:17,2026-06-21 08:18,Major
EQ-001,Diffusion-01,LINE_I2,C208,Temperature Overshoot,2026-06-09 10:20,2026-06-09 11:34,Critical
EQ-001,Diffusion-01,LINE_I2,A105,Door Interlock,2026-06-08 12:44,2026-06-08 13:08,Minor
EQ-006,CMP-06,LINE_I2,C203,Gas Flow Deviation,2026-06-14 13:21,2026-06-14 14:35,Major
EQ-004,CVD-04,LINE_I2,P302,Reticle Load Error,2026-06-07 13:24,2026-06-07 14:43,Minor
EQ-006,CMP-06,LINE_I2,A119,Chamber Pressure High,2026-06-13 15:00,2026-06-13 15:50,Critical
EQ-003,Photo-03,LINE_I2,P314,Reticle Load Error,2026-06-18 23:47,2026-06-19 01:01,Minor
EQ-005,Diffusion-05,LINE_I2,C216,Gas Flow Deviation,2026-06-08 08:27,2026-06-08 09:34,Major
EQ-001,Diffusion-01,LINE_I2,P311,Reticle Load Error,2026-06-22 21:51,2026-06-22 22:47,Minor
EQ-006,CMP-06,LINE_I2,A115,Door Interlock,2026-06-30 04:39,2026-06-30 05:52,Minor
EQ-001,Diffusion-01,LINE_I2,P319,Reticle Load Error,2026-06-19 21:01,2026-06-19 21:16,Minor
EQ-006,CMP-06,LINE_I2,P305,Reticle Load Error,2026-06-28 14:11,2026-06-28 14:22,Minor
EQ-003,Photo-03,LINE_I2,P311,Reticle Load Error,2026-06-07 14:20,2026-06-07 15:08,Minor
EQ-004,CVD-04,LINE_I2,C214,Temperature Overshoot,2026-06-09 02:30,2026-06-09 02:37,Critical
