설비ID,설비명,라인,알람코드,알람명,발생일시,해제일시,심각도
EQ-001,Etcher-01,LINE_P1,A107,Vacuum Pump Trip,2026-06-08 16:38,2026-06-08 16:46,Critical
EQ-005,Implant-05,LINE_P1,C218,Gas Flow Deviation,2026-06-14 07:28,2026-06-14 08:48,Major
EQ-003,CVD-03,LINE_P1,A106,Chamber Pressure High,2026-06-23 13:21,2026-06-23 14:01,Critical
EQ-002,Implant-02,LINE_P2,C211,Gas Flow Deviation,2026-06-04 02:24,2026-06-04 02:41,Major
EQ-003,CVD-03,LINE_P1,P320,Wafer Align Fail,2026-06-09 01:46,2026-06-09 02:49,Major
EQ-005,Implant-05,LINE_P1,A113,Vacuum Pump Trip,2026-06-03 17:18,2026-06-03 18:43,Critical
EQ-005,Implant-05,LINE_P1,P319,Wafer Align Fail,2026-06-07 22:04,2026-06-07 22:14,Major
EQ-006,Diffusion-06,LINE_P2,C210,Gas Flow Deviation,2026-06-03 07:55,2026-06-03 08:12,Major
EQ-004,CVD-04,LINE_P1,C215,Temperature Overshoot,2026-06-21 11:10,2026-06-21 12:02,Critical
EQ-003,CVD-03,LINE_P1,C209,Gas Flow Deviation,2026-06-23 21:41,2026-06-23 21:55,Major
EQ-005,Implant-05,LINE_P1,A118,Door Interlock,2026-06-24 07:10,2026-06-24 08:14,Minor
EQ-004,CVD-04,LINE_P1,C218,Temperature Overshoot,2026-06-08 21:20,2026-06-08 21:32,Critical
EQ-002,Implant-02,LINE_P2,A111,Chamber Pressure High,2026-06-13 08:04,2026-06-13 08:36,Critical
EQ-005,Implant-05,LINE_P1,P307,Wafer Align Fail,2026-06-21 15:25,2026-06-21 16:52,Major
EQ-004,CVD-04,LINE_P1,A109,Door Interlock,2026-06-05 07:47,2026-06-05 09:03,Minor
EQ-005,Implant-05,LINE_P1,C219,Temperature Overshoot,2026-06-14 18:25,2026-06-14 19:16,Critical
EQ-002,Implant-02,LINE_P2,A117,Door Interlock,2026-06-16 02:48,2026-06-16 02:59,Minor
EQ-001,Etcher-01,LINE_P1,A106,Door Interlock,2026-06-26 21:27,2026-06-26 22:48,Minor
