설비ID,설비명,라인,알람코드,알람명,발생일시,해제일시,심각도
EQ-006,CMP-06,LINE_H1,C215,Temperature Overshoot,2026-06-11 02:00,2026-06-11 03:03,Critical
EQ-005,CVD-05,LINE_H2,R404,RF Match Fail,2026-06-03 17:13,2026-06-03 18:22,Critical
EQ-003,Photo-03,LINE_H1,A112,Door Interlock,2026-06-29 02:56,2026-06-29 03:32,Minor
EQ-003,Photo-03,LINE_H1,C206,Temperature Overshoot,2026-06-15 17:45,2026-06-15 18:28,Critical
EQ-005,CVD-05,LINE_H2,M101,Pad Conditioner Alarm,2026-06-22 17:19,2026-06-22 18:48,Major
EQ-001,Etcher-01,LINE_H1,A109,Door Interlock,2026-06-04 03:47,2026-06-04 05:02,Minor
EQ-002,CMP-02,LINE_H2,C210,Temperature Overshoot,2026-06-20 06:45,2026-06-20 07:33,Critical
EQ-002,CMP-02,LINE_H2,C217,Temperature Overshoot,2026-06-16 08:57,2026-06-16 09:08,Critical
EQ-001,Etcher-01,LINE_H1,P309,Reticle Load Error,2026-06-02 00:21,2026-06-02 00:42,Minor
EQ-006,CMP-06,LINE_H1,C206,Temperature Overshoot,2026-06-24 14:35,2026-06-24 15:34,Critical
EQ-005,CVD-05,LINE_H2,A104,Chamber Pressure High,2026-06-03 22:57,2026-06-03 23:21,Critical
EQ-005,CVD-05,LINE_H2,A112,Chamber Pressure High,2026-06-19 17:09,2026-06-19 18:09,Critical
EQ-002,CMP-02,LINE_H2,A110,Chamber Pressure High,2026-06-12 01:57,2026-06-12 02:47,Critical
EQ-002,CMP-02,LINE_H2,C204,Gas Flow Deviation,2026-06-12 17:56,2026-06-12 18:53,Major
EQ-005,CVD-05,LINE_H2,A108,Door Interlock,2026-06-28 05:51,2026-06-28 06:18,Minor
EQ-004,Implant-04,LINE_H2,A106,Chamber Pressure High,2026-06-24 10:50,2026-06-24 11:47,Critical
EQ-006,CMP-06,LINE_H1,C209,Gas Flow Deviation,2026-06-06 22:06,2026-06-06 22:59,Major
EQ-001,Etcher-01,LINE_H1,M108,Slurry Level Low,2026-06-07 14:22,2026-06-07 15:06,Minor
EQ-002,CMP-02,LINE_H2,C201,Gas Flow Deviation,2026-06-22 06:25,2026-06-22 07:12,Major
EQ-003,Photo-03,LINE_H1,A109,Vacuum Pump Trip,2026-06-12 20:32,2026-06-12 21:28,Critical
EQ-006,CMP-06,LINE_H1,M111,Pad Conditioner Alarm,2026-06-01 03:56,2026-06-01 04:34,Major
EQ-002,CMP-02,LINE_H2,R409,RF Match Fail,2026-06-02 03:38,2026-06-02 04:38,Critical
EQ-003,Photo-03,LINE_H1,P314,Wafer Align Fail,2026-06-20 16:07,2026-06-20 17:01,Major
EQ-005,CVD-05,LINE_H2,C209,Gas Flow Deviation,2026-06-02 22:27,2026-06-02 22:32,Major
EQ-005,CVD-05,LINE_H2,M107,Pad Conditioner Alarm,2026-06-12 13:04,2026-06-12 14:34,Major
EQ-003,Photo-03,LINE_H1,R411,RF Match Fail,2026-06-22 03:46,2026-06-22 04:29,Critical
EQ-005,CVD-05,LINE_H2,C214,Temperature Overshoot,2026-06-11 12:44,2026-06-11 13:26,Critical
EQ-005,CVD-05,LINE_H2,A107,Door Interlock,2026-06-14 21:24,2026-06-14 21:51,Minor
