설비ID,설비명,라인,알람코드,알람명,발생일시,해제일시,심각도
EQ-002,Photo-02,LINE_C1,C205,Gas Flow Deviation,2026-06-16 21:07,2026-06-16 22:24,Major
EQ-002,Photo-02,LINE_C1,M109,Slurry Level Low,2026-06-25 11:10,2026-06-25 12:32,Minor
EQ-005,Etcher-05,LINE_C1,A106,Vacuum Pump Trip,2026-06-10 03:37,2026-06-10 03:45,Critical
EQ-003,Implant-03,LINE_C1,R413,RF Match Fail,2026-06-13 22:12,2026-06-13 22:26,Critical
EQ-005,Etcher-05,LINE_C1,C204,Gas Flow Deviation,2026-06-23 09:54,2026-06-23 11:15,Major
EQ-001,Diffusion-01,LINE_C1,R402,RF Match Fail,2026-06-12 17:27,2026-06-12 18:56,Critical
EQ-003,Implant-03,LINE_C1,A117,Vacuum Pump Trip,2026-06-21 10:00,2026-06-21 10:58,Critical
EQ-004,Implant-04,LINE_C1,A114,Vacuum Pump Trip,2026-06-12 20:57,2026-06-12 22:00,Critical
EQ-006,CVD-06,LINE_C1,A114,Door Interlock,2026-06-06 23:33,2026-06-07 01:01,Minor
EQ-003,Implant-03,LINE_C1,R418,RF Match Fail,2026-06-25 15:29,2026-06-25 16:29,Critical
EQ-006,CVD-06,LINE_C1,R409,RF Match Fail,2026-06-11 07:53,2026-06-11 08:09,Critical
EQ-003,Implant-03,LINE_C1,M108,Slurry Level Low,2026-06-25 14:36,2026-06-25 15:59,Minor
EQ-006,CVD-06,LINE_C1,P311,Reticle Load Error,2026-06-01 15:54,2026-06-01 16:40,Minor
EQ-002,Photo-02,LINE_C1,M107,Slurry Level Low,2026-06-12 08:21,2026-06-12 09:01,Minor
EQ-005,Etcher-05,LINE_C1,C218,Temperature Overshoot,2026-06-01 16:12,2026-06-01 16:27,Critical
EQ-002,Photo-02,LINE_C1,P316,Reticle Load Error,2026-06-18 07:44,2026-06-18 08:49,Minor
EQ-006,CVD-06,LINE_C1,M115,Slurry Level Low,2026-06-26 00:05,2026-06-26 00:47,Minor
EQ-002,Photo-02,LINE_C1,P308,Reticle Load Error,2026-06-10 21:37,2026-06-10 22:29,Minor
EQ-004,Implant-04,LINE_C1,M117,Pad Conditioner Alarm,2026-06-12 13:47,2026-06-12 15:02,Major
EQ-003,Implant-03,LINE_C1,P315,Wafer Align Fail,2026-06-09 09:16,2026-06-09 09:50,Major
EQ-001,Diffusion-01,LINE_C1,C211,Gas Flow Deviation,2026-06-04 23:34,2026-06-05 00:02,Major
EQ-002,Photo-02,LINE_C1,C216,Gas Flow Deviation,2026-06-09 23:37,2026-06-10 00:49,Major
EQ-005,Etcher-05,LINE_C1,C204,Temperature Overshoot,2026-06-27 06:18,2026-06-27 06:52,Critical
EQ-003,Implant-03,LINE_C1,A110,Door Interlock,2026-06-01 22:34,2026-06-01 22:55,Minor
EQ-003,Implant-03,LINE_C1,A102,Chamber Pressure High,2026-06-18 09:44,2026-06-18 10:05,Critical
EQ-006,CVD-06,LINE_C1,M104,Slurry Level Low,2026-06-28 00:36,2026-06-28 01:17,Minor
EQ-004,Implant-04,LINE_C1,M115,Slurry Level Low,2026-06-11 05:03,2026-06-11 05:40,Minor
