설비ID,설비명,라인,알람코드,알람명,발생일시,해제일시,심각도
EQ-001,CMP-01,LINE_G1,M109,Pad Conditioner Alarm,2026-06-25 20:21,2026-06-25 20:40,Major
EQ-003,Diffusion-03,LINE_G1,P306,Reticle Load Error,2026-06-15 00:46,2026-06-15 01:24,Minor
EQ-002,Diffusion-02,LINE_G1,M104,Pad Conditioner Alarm,2026-06-28 20:19,2026-06-28 21:45,Major
EQ-002,Diffusion-02,LINE_G1,A112,Door Interlock,2026-06-25 05:34,2026-06-25 06:46,Minor
EQ-001,CMP-01,LINE_G1,R411,RF Match Fail,2026-06-16 00:07,2026-06-16 00:58,Critical
EQ-003,Diffusion-03,LINE_G1,C202,Gas Flow Deviation,2026-06-08 18:05,2026-06-08 18:20,Major
EQ-004,Diffusion-04,LINE_G1,A118,Vacuum Pump Trip,2026-06-25 04:08,2026-06-25 05:37,Critical
EQ-004,Diffusion-04,LINE_G1,M106,Pad Conditioner Alarm,2026-06-09 16:55,2026-06-09 18:17,Major
EQ-004,Diffusion-04,LINE_G1,C218,Gas Flow Deviation,2026-06-25 23:44,2026-06-26 00:14,Major
EQ-003,Diffusion-03,LINE_G1,P312,Reticle Load Error,2026-06-15 16:28,2026-06-15 16:48,Minor
EQ-002,Diffusion-02,LINE_G1,C203,Gas Flow Deviation,2026-06-11 00:37,2026-06-11 01:52,Major
EQ-002,Diffusion-02,LINE_G1,R408,RF Match Fail,2026-06-01 02:45,2026-06-01 04:10,Critical
EQ-001,CMP-01,LINE_G1,C203,Gas Flow Deviation,2026-06-29 01:55,2026-06-29 02:42,Major
EQ-001,CMP-01,LINE_G1,M108,Pad Conditioner Alarm,2026-06-09 21:31,2026-06-09 22:03,Major
EQ-002,Diffusion-02,LINE_G1,R419,RF Match Fail,2026-06-16 07:50,2026-06-16 08:55,Critical
EQ-004,Diffusion-04,LINE_G1,C204,Gas Flow Deviation,2026-06-04 21:27,2026-06-04 22:17,Major
EQ-004,Diffusion-04,LINE_G1,P315,Reticle Load Error,2026-06-28 23:03,2026-06-29 00:31,Minor
EQ-001,CMP-01,LINE_G1,A113,Chamber Pressure High,2026-06-24 10:51,2026-06-24 11:09,Critical
EQ-002,Diffusion-02,LINE_G1,C207,Gas Flow Deviation,2026-06-18 14:08,2026-06-18 15:07,Major
EQ-002,Diffusion-02,LINE_G1,C215,Temperature Overshoot,2026-06-08 02:28,2026-06-08 03:43,Critical
EQ-001,CMP-01,LINE_G1,A118,Chamber Pressure High,2026-06-27 00:05,2026-06-27 00:40,Critical
EQ-002,Diffusion-02,LINE_G1,P316,Reticle Load Error,2026-06-16 06:55,2026-06-16 07:51,Minor
EQ-001,CMP-01,LINE_G1,A113,Door Interlock,2026-06-01 12:16,2026-06-01 13:19,Minor
EQ-003,Diffusion-03,LINE_G1,P318,Reticle Load Error,2026-06-22 22:31,2026-06-22 22:55,Minor
EQ-002,Diffusion-02,LINE_G1,C207,Temperature Overshoot,2026-06-02 18:47,2026-06-02 20:01,Critical
EQ-001,CMP-01,LINE_G1,P302,Wafer Align Fail,2026-06-02 18:30,2026-06-02 19:39,Major
EQ-002,Diffusion-02,LINE_G1,A117,Chamber Pressure High,2026-06-03 05:04,2026-06-03 06:25,Critical
EQ-001,CMP-01,LINE_G1,C213,Gas Flow Deviation,2026-06-04 18:15,2026-06-04 19:34,Major
